2017-07-25 11:41:43+0800 [-] Log opened.
2017-07-25 11:41:43+0800 [-] BasePortListener._run Start
2017-07-25 11:41:43+0800 [-] _tcp_listener ('0.0.0.0', 12014)
2017-07-25 11:41:44+0800 [-] [net_4] started...
2017-07-25 11:41:44+0800 [-] [net_4] pid: 3440
2017-07-25 11:41:44+0800 [-] Greactor Run
2017-07-25 11:42:44+0800 [-] >>>>>>>>>>>>>>>>>>
2017-07-25 11:42:44+0800 [-] Allowed to connect net_5
2017-07-25 11:42:44+0800 [-] <<<<<<<<<<<<<<<<<<
2017-07-25 11:51:44+0800 [-] Greactor Run
2017-07-25 12:01:44+0800 [-] Greactor Run
2017-07-25 12:11:44+0800 [-] Greactor Run
2017-07-25 12:21:44+0800 [-] Greactor Run
2017-07-25 12:31:44+0800 [-] Greactor Run
2017-07-25 12:41:44+0800 [-] Greactor Run
2017-07-25 12:51:44+0800 [-] Greactor Run
2017-07-25 13:01:44+0800 [-] Greactor Run
2017-07-25 13:11:44+0800 [-] Greactor Run
2017-07-25 13:21:44+0800 [-] Greactor Run
2017-07-25 13:31:44+0800 [-] Greactor Run
2017-07-25 13:41:44+0800 [-] Greactor Run
2017-07-25 13:51:44+0800 [-] Greactor Run
2017-07-25 14:01:44+0800 [-] Greactor Run
2017-07-25 14:11:44+0800 [-] Greactor Run
2017-07-25 14:21:44+0800 [-] Greactor Run
ll--name=biz_role_act_daily_recharge_gift, idslen=0
2017-07-25 12:12:552017-07-25 12:21:44+0800 [-] Greactor Run
2017-07-25 12:31:44+0800 [-] Greactor Run
2017-07-25 12:41:44+0800 [-] Greactor Run
2017-07-25 12:51:44+0800 [-] Greactor Run
2017-07-25 13:01:44+0800 [-] Greactor Run
2017-07-25 13:11:44+0800 [-] Greactor Run
2017-07-25 13:21:44+0800 [-] Greactor Run
2017-07-25 13:31:44+0800 [-] Greactor Run
2017-07-25 13:41:44+0800 [-] Greactor Run
2017-07-25 13:51:44+0800 [-] Greactor Run
2017-07-25 14:01:44+0800 [-] Greactor Run
2017-07-25 14:11:44+0800 [-] Greactor Run
2017-07-25 14:21:44+0800 [-] Greactor Run
r Run
2017-07-25 13:21:45+0800 [-] Greactor Run
2017-07-25 13:31:45+0800 [-] Greactor Run
2017-07-25 13:41:45+0800 [-] Greactor Run
2017-07-25 13:51:45+0800 [-] Greactor Run
2017-07-25 14:01:45+0800 [-] Greactor Run
2017-07-25 14:11:45+0800 [-] Greactor Run
2017-07-25 14:21:45+0800 [-] Greactor Run
ctor Run
2017-07-25 12:41:45+0800 [-] Greactor Run
2017-07-25 12:51:45+0800 [-] Greactor Run
2017-07-25 13:01:45+0800 [-] Greactor Run
2017-07-25 13:11:45+0800 [-] Greactor Run
2017-07-25 13:21:45+0800 [-] Greactor Run
2017-07-25 13:31:45+0800 [-] Greactor Run
2017-07-25 13:41:45+0800 [-] Greactor Run
2017-07-25 13:51:45+0800 [-] Greactor Run
2017-07-25 14:01:45+0800 [-] Greactor Run
2017-07-25 14:11:45+0800 [-] Greactor Run
2017-07-25 14:21:45+0800 [-] Greactor Run
] Greactor Run
2017-07-25 12:41:45+0800 [-] Greactor Run
2017-07-25 12:51:45+0800 [-] Greactor Run
2017-07-25 13:01:45+0800 [-] Greactor Run
2017-07-25 13:11:45+0800 [-] Greactor Run
2017-07-25 13:21:45+0800 [-] Greactor Run
2017-07-25 13:31:45+0800 [-] Greactor Run
2017-07-25 13:41:45+0800 [-] Greactor Run
2017-07-25 13:51:45+0800 [-] Greactor Run
2017-07-25 14:01:45+0800 [-] Greactor Run
2017-07-25 14:11:45+0800 [-] Greactor Run
2017-07-25 14:21:45+0800 [-] Greactor Run
ll--name=biz_role_bag, idslen=0
2017-07-25 12:12:55+0800 [-] --sync_check_all--name=biz_role_friend_apply, idslen=0
2017-07-25 12:12:55+0800 [-] --sync_check_all--name=biz_role_act_cost_gift, idslen=0
2017-07-25 12:12:55+0800 [-] --sync_check_all--name=biz_server_forces_war_msg, idslen=0
2017-07-25 12:12:55+0800 [-] --sync_check_all--name=biz_server_act_time_buy, idslen=0
2017-07-25 12:12:55+0800 [-] --sync_check_all--name=biz_role_shipskill, idslen=0
2017-07-25 12:12:55+0800 [-] --sync_check_all--name=biz_role_act_time_exchange, idslen=0
2017-07-25 12:12:55+0800 [-] --sync_check_all--name=biz_role_friend_association, idslen=0
2017-07-25 12:12:55+0800 [-] --sync_check_all--name=biz_role_act_recharge_gift, idslen=0
2017-07-25 12:12:55+0800 [-] --sync_check_all--name=biz_server_forces_war_group, idslen=0
2017-07-25 12:12:55+0800 [-] --sync_check_all--name=biz_role_ectype, idslen=0
2017-07-25 12:12:55+0800 [-] --sync_check_all--name=biz_role_recharge, idslen=0
2017-07-25 12:12:55+0800 [-] <----sync_check_all end usetime=0.009000--------------------
2017-07-25 12:21:44+0800 [-] Greactor Run
2017-07-25 12:31:44+0800 [-] Greactor Run
2017-07-25 12:41:44+0800 [-] Greactor Run
2017-07-25 12:42:56+0800 [-] ----sync_check_all begin-------------------->
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_act_recharge_cumulative_time, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_ship, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_act_week_month, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_act_daily_recharge_gift, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_union_role_association, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_soul, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_recharge_order, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_event, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_union_message, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_server_info, idslen=1
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_carnival_data, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_carnival, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_event_unit, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_tower, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_actcode, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_act_time_buy, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_ship_equip, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_union, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_server_forces_war_ship, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_union_message, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_act_login_reward, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_forces_war, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_cost_diamond, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_expedition, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_server_forces_war_group_role, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_bag, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_friend_apply, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_act_cost_gift, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_server_forces_war_msg, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_server_act_time_buy, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_shipskill, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_act_time_exchange, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_friend_association, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_act_recharge_gift, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_server_forces_war_group, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_ectype, idslen=0
2017-07-25 12:42:56+0800 [-] --sync_check_all--name=biz_role_recharge, idslen=0
2017-07-25 12:42:56+0800 [-] <----sync_check_all end usetime=0.034000--------------------
2017-07-25 12:51:44+0800 [-] Greactor Run
2017-07-25 13:01:44+0800 [-] Greactor Run
2017-07-25 13:11:44+0800 [-] Greactor Run
2017-07-25 13:12:58+0800 [-] ----sync_check_all begin-------------------->
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_act_recharge_cumulative_time, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_ship, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_act_week_month, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_act_daily_recharge_gift, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_union_role_association, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_soul, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_recharge_order, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_event, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_union_message, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_server_info, idslen=1
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_carnival_data, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_carnival, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_event_unit, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_tower, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_actcode, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_act_time_buy, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_ship_equip, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_union, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_server_forces_war_ship, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_union_message, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_act_login_reward, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_forces_war, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_cost_diamond, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_expedition, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_server_forces_war_group_role, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_bag, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_friend_apply, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_act_cost_gift, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_server_forces_war_msg, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_server_act_time_buy, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_shipskill, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_act_time_exchange, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_friend_association, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_role_act_recharge_gift, idslen=0
2017-07-25 13:12:58+0800 [-] --sync_check_all--name=biz_server_forces_war_group, idslen=0
